char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
t,6.678,0.0,0.0,0.0,0.0
h,-,0.459,0.0,0.0,0.0
e,0.0,0.0,0.0,0.0,0.0
p,-,-,44.657,0.0,0.0
r,-,0.0,0.0,0.0,0.0
o,18.434,0.0,0.0,0.0,0.0
j,-,-,-,2.133,0.0
c,-,-,8.397,0.0,0.0
g,-,-,26.814,0.0,0.0
u,187.65,54.463,0.0,0.0,0.0
n,56.973,0.013,0.0,0.0,0.0
b,481.751,212.364,41.84,0.0,0.0
k,1091.692,539.716,190.274,0.0,0.0
f,-,-,-,0.04,0.0
m,-,65.635,0.157,0.0,0.0
a,28.504,0.011,0.0,0.0,0.0
d,-,-,0.09,0.0,0.0
l,-,19.489,0.0,0.0,0.0
i,-,0.013,0.0,0.0,0.0
y,-,-,1.191,0.0,0.0
w,311.835,121.113,0.56,0.0,0.0
s,59.347,0.081,0.014,0.0,0.0
v,-,-,-,0.257,0.0
2,-,-,-,-,0.0
5,-,-,-,1486.667,0.0
0,-,-,-,-,0.0
1,-,-,-,-,0.0
9,-,-,-,-,0.0
7,-,-,-,-,0.0
x,-,-,-,-,0.0
3,-,-,-,-,0.0
z,-,-,-,-,0.0
q,-,-,-,213.158,0.0
8,-,-,-,-,0.0
4,-,-,-,-,0.0
6,-,-,-,-,0.0
