char,exact,ssc10,ssc15,ssc20,ssc25,ssc50
l,6096,-,11935,6096,6096,6096
u,10620,-,11938,10620,10620,10620
í,519,-,-,-,-,519
s,20650,22784,20650,20650,20650,20650
v,4254,22760,11936,5241,4254,4254
a,31064,31064,31064,31064,31064,31064
z,919,-,-,-,-,919
d,12308,22760,12308,12308,12308,12308
e,31591,31592,31591,31591,31591,31591
c,7071,-,-,7073,7071,7071
m,10919,-,11942,10919,10919,10919
õ,115,-,-,-,-,115
o,27249,27255,27249,27249,27249,27249
n,13452,22760,13453,13452,13452,13452
t,11936,22760,11954,11936,11936,11936
p,5557,-,-,5560,5557,5557
r,16835,22760,16836,16835,16835,16835
i,12528,-,12529,12528,12528,12528
1,365,-,-,-,-,365
b,2392,-,-,-,2396,2392
q,4113,-,11935,5228,4113,4113
g,3598,-,-,-,3598,3598
é,825,-,-,-,-,825
f,3054,-,-,-,3054,3054
ç,863,-,-,-,-,863
h,2584,-,-,-,2598,2584
2,235,-,-,-,-,235
ó,660,-,-,5226,2274,660
á,1377,-,-,-,2272,1377
ã,1620,-,-,-,-,1620
j,1023,22760,11935,5227,2274,1023
3,234,-,-,-,-,234
x,368,-,-,5226,2273,368
4,226,-,-,-,-,226
à,158,-,-,5226,2273,158
5,218,-,-,-,-,218
ú,163,-,-,-,-,163
6,210,-,-,-,-,210
7,208,-,-,-,-,208
8,205,-,-,-,-,205
ê,377,-,-,-,-,377
9,193,-,-,-,-,193
0,148,-,-,-,-,148
y,7,-,-,-,-,7
ô,52,-,-,-,-,52
â,79,-,-,-,-,79
è,2,-,-,-,-,2
ü,14,-,-,-,-,14
ò,1,-,-,-,-,1
